round,rank,field_size,rating
1,43,154,1571
2,6,158,1652
3,22,163,1632
4,48,171,1576
5,30,179,1649
6,40,183,1622
7,27,190,1667
8,50,192,1609
9,29,200,1686
10,74,211,1581
11,74,213,1586
12,45,222,1677
13,26,224,1737
14,14,232,1792
15,15,237,1820
16,18,255,1792
17,22,256,1806
18,21,258,1807
19,14,258,1897
20,21,260,1826
21,25,262,1812
22,38,265,1763
23,30,269,1808
24,19,272,1898
25,23,274,1851
26,20,277,1905
27,21,280,1887
28,19,282,1909
29,19,286,1925
30,19,290,1911
31,17,301,1973
32,25,301,1903
33,24,303,1919
34,18,303,2001
35,15,306,2060
36,13,309,2084
37,13,311,2102
38,22,311,2025
39,15,314,2096
40,16,318,2093
41,11,320,2153
42,11,321,2171
43,7,325,2245
44,11,326,2189
45,10,329,2238
46,9,342,2246
47,10,343,2241
48,8,346,2311
49,9,347,2313
50,10,348,2274
51,14,349,2241
52,15,351,2235
53,19,354,2179
54,22,357,2124
55,22,358,2135
56,37,359,2024
57,26,361,2143
58,36,363,2048
59,28,366,2129
60,28,369,2132
61,41,378,2051
62,52,379,1984
63,66,379,1915
64,51,381,1990
65,48,381,2030
66,44,381,2029
67,39,384,2089
68,36,387,2133
69,37,390,2132
70,37,392,2138
71,32,395,2173
72,32,396,2182
73,21,398,2279
74,16,402,2353
75,17,402,2361
76,17,408,2372
77,22,408,2314
78,22,409,2328
79,22,411,2351
80,24,412,2361
81,25,413,2364
82,29,415,2324
83,29,417,2290
84,36,419,2241
85,34,420,2277
86,35,423,2280
87,34,424,2283
88,34,424,2287
89,33,425,2291
90,39,427,2252
91,41,431,2261
92,46,432,2223
93,55,433,2182
94,49,435,2225
95,50,435,2198
96,43,435,2231
97,46,436,2233
98,44,436,2263
99,46,436,2275
100,53,438,2219
101,54,440,2225
102,56,442,2203
103,55,444,2212
104,53,448,2218
105,54,448,2222
106,48,459,2279
107,47,465,2305
108,47,465,2310
109,47,465,2319
